language,filename,blank,comment,code
XML,hadoop-branch-1.0/lib/jdiff/hadoop_1.0.3.xml,1880,1914,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_1.0.4.xml,1880,1914,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_1.0.2.xml,1879,1910,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_1.0.1.xml,1850,1900,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_1.0.0.xml,1756,1772,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.20.205.0.xml,1756,1770,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.20.1.xml,1356,1180,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.18.1.xml,974,1008,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.19.2.xml,1077,996,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.19.1.xml,1077,996,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.19.0.xml,1076,990,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.17.0.xml,1224,981,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.18.3.xml,918,904,1
XML,hadoop-branch-1.0/lib/jdiff/hadoop_0.18.2.xml,918,902,1
JSON,hadoop-branch-1.0/src/test/tools/data/rumen/zombie/input-trace.json,0,0,1
Java,hadoop-branch-1.0/src/contrib/thriftfs/gen-java/org/apache/hadoop/thriftfs/api/ThriftHadoopFileSystem.java,666,5,1
C++,hadoop-branch-1.0/src/contrib/thriftfs/gen-cpp/ThriftHadoopFileSystem.cpp,790,13,1
PHP,hadoop-branch-1.0/src/contrib/thriftfs/gen-php/ThriftHadoopFileSystem.php,353,6,1
Perl,hadoop-branch-1.0/src/contrib/thriftfs/gen-perl/ThriftHadoopFileSystem.pm,355,6,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/FSNamesystem.java,547,1358,1
Bourne Shell,hadoop-branch-1.0/src/test/system/c++/runAs/configure,524,595,1
Objective C,hadoop-branch-1.0/src/contrib/thriftfs/gen-cocoa/hadoopfs.m,574,5,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JobTracker.java,551,1043,1
XML,hadoop-branch-1.0/src/test/org/apache/hadoop/cli/testConf.xml,167,88,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/TaskTracker.java,429,795,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/mapred_tutorial.xml,273,12,1
Python,hadoop-branch-1.0/src/contrib/thriftfs/gen-py/hadoopfs/ThriftHadoopFileSystem.py,446,6,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/DFSClient.java,374,831,1
Java,hadoop-branch-1.0/src/contrib/capacity-scheduler/src/test/org/apache/hadoop/mapred/TestCapacityScheduler.java,451,665,1
HTML,hadoop-branch-1.0/src/docs/releasenotes.html,915,0,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JobInProgress.java,385,781,1
Ant,hadoop-branch-1.0/build.xml,279,141,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/mapred_tutorial.xml,212,12,1
Java,hadoop-branch-1.0/src/contrib/fairscheduler/src/test/org/apache/hadoop/mapred/TestFairScheduler.java,308,583,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/SequenceFile.java,400,785,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/ReduceTask.java,405,466,1
C/C++ Header,hadoop-branch-1.0/src/contrib/thriftfs/gen-cpp/ThriftHadoopFileSystem.h,616,5,1
JSON,hadoop-branch-1.0/src/test/tools/data/rumen/zombie/input-topology.json,0,0,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JobHistory.java,309,727,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/FSDataset.java,258,379,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/DataNode.java,203,450,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/webhdfs.xml,22,76,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/FsShell.java,147,337,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JobClient.java,146,533,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/MapTask.java,163,175,1
C,hadoop-branch-1.0/src/c++/libhdfs/hdfs.c,382,279,1
Smalltalk,hadoop-branch-1.0/src/contrib/thriftfs/gen-st/hadoopfs.st,113,19,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/compress/bzip2/CBZip2OutputStream.java,303,424,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/ipc/Server.java,157,271,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/rumen/HadoopLogsAnalyzer.java,391,130,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/FSImage.java,155,374,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/hod_scheduler.xml,216,17,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/file/tfile/TFile.java,213,996,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/Task.java,139,262,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/DistCp.java,123,186,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/balancer/Balancer.java,141,410,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestDFSShell.java,121,90,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/FSEditLog.java,129,244,1
XML,hadoop-branch-1.0/src/mapred/mapred-default.xml,142,44,1
JavaScript,hadoop-branch-1.0/src/docs/cn/src/documentation/skins/common/scripts/prototype.js,204,36,1
C++,hadoop-branch-1.0/src/c++/pipes/impl/HadoopPipes.cc,111,79,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestFileAppend4.java,212,229,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/FSDirectory.java,110,308,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapreduce/lib/input/TestCombineFileInputFormat.java,93,125,1
XSLT,hadoop-branch-1.0/src/docs/cn/src/documentation/skins/common/xslt/fo/document-to-fo.xsl,2,81,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/skins/common/xslt/fo/d2fo.xml,2,81,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/filecache/TestTrackerDistributedCacheManager.java,144,175,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/ipc/Client.java,130,314,1
C,hadoop-branch-1.0/src/c++/task-controller/impl/task-controller.c,109,172,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/NameNode.java,124,285,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/cluster_setup.xml,81,14,1
Java,hadoop-branch-1.0/src/contrib/capacity-scheduler/src/java/org/apache/hadoop/mapred/CapacitySchedulerQueue.java,182,308,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/server/namenode/NNThroughputBenchmark.java,121,236,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestJobHistory.java,213,241,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/FileSystem.java,155,711,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/Common/types.py,296,146,1
Java,hadoop-branch-1.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/StreamJob.java,101,91,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/TestFileSystem.java,179,48,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/conf/Configuration.java,108,532,1
Java,hadoop-branch-1.0/src/contrib/capacity-scheduler/src/java/org/apache/hadoop/mapred/CapacityTaskScheduler.java,162,258,1
Java,hadoop-branch-1.0/src/contrib/fairscheduler/src/java/org/apache/hadoop/mapred/FairScheduler.java,86,208,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/record/compiler/generated/RccTokenManager.java,8,18,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/security/UserGroupInformation.java,93,293,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/TestCopyFiles.java,98,56,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/filecache/TrackerDistributedCacheManager.java,93,277,1
C,hadoop-branch-1.0/src/c++/task-controller/test/test-task-controller.c,63,50,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestDFSPermission.java,122,134,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/Common/setup.py,158,152,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/TaskInProgress.java,133,371,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/tools/DFSAdmin.java,103,172,1
Ruby,hadoop-branch-1.0/src/contrib/thriftfs/gen-rb/ThriftHadoopFileSystem.rb,124,6,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/DataBlockScanner.java,152,127,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/HodRing/hodRing.py,162,53,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/streaming.xml,80,33,1
XSLT,hadoop-branch-1.0/src/docs/cn/src/documentation/skins/pelt/xslt/html/site-to-xhtml.xsl,4,108,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/compress/bzip2/CBZip2InputStream.java,144,130,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/NNBench.java,124,187,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/UtilsForTests.java,95,133,1
Java,hadoop-branch-1.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/servers/HadoopLocationWizard.java,129,177,1
PHP,hadoop-branch-1.0/src/contrib/thriftfs/gen-php/hadoopfs_types.php,44,5,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/HarFileSystem.java,95,320,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/record/compiler/JRecord.java,70,78,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/commands_manual.xml,36,12,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/HadoopArchives.java,57,179,1
Java,hadoop-branch-1.0/src/tools/org/apache/hadoop/tools/rumen/ZombieJob.java,83,158,1
Java,hadoop-branch-1.0/src/examples/org/apache/hadoop/examples/RandomTextWriter.java,28,78,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/BlockReceiver.java,96,180,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestWebUIAuthorization.java,110,192,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/file/tfile/TestTFileSeqFileComparison.java,114,23,1
Java,hadoop-branch-1.0/src/test/system/java/org/apache/hadoop/hdfs/TestBalancer.java,109,296,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/RingMaster/ringMaster.py,125,264,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/web/WebHdfsFileSystem.java,92,76,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestTaskTrackerLocalization.java,123,228,1
HTML,hadoop-branch-1.0/src/core/org/apache/hadoop/record/package.html,168,14,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/hdfs_user_guide.xml,29,14,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/file/tfile/TestTFileByteArrays.java,85,93,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/JobConf.java,171,1137,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestFileCreation.java,95,156,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/namenode/web/resources/NamenodeWebHdfsMethods.java,54,31,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/permission/TestFsPermission.java,18,25,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/Hod/hod.py,107,47,1
Bourne Shell,hadoop-branch-1.0/src/packages/hadoop-setup-conf.sh,39,56,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/GenericMRLoadGenerator.java,47,39,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/TestQuota.java,131,169,1
XML,hadoop-branch-1.0/src/docs/src/documentation/content/xdocs/capacity_scheduler.xml,41,12,1
Perl,hadoop-branch-1.0/src/contrib/thriftfs/gen-perl/Types.pm,25,5,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/MiniDFSCluster.java,80,346,1
Java,hadoop-branch-1.0/src/benchmarks/gridmix2/src/java/org/apache/hadoop/mapred/GridMixRunner.java,67,17,1
Python,hadoop-branch-1.0/src/contrib/hod/hodlib/Hod/hadoop.py,115,57,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/mapred/TestMapRed.java,81,190,1
Java,hadoop-branch-1.0/src/mapred/org/apache/hadoop/mapred/HistoryViewer.java,29,21,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/http/HttpServer.java,77,204,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/io/FileBench.java,25,26,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/fs/FileUtil.java,55,194,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/HftpFileSystem.java,80,73,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/streaming.xml,55,12,1
Java,hadoop-branch-1.0/src/hdfs/org/apache/hadoop/hdfs/server/datanode/DataXceiver.java,53,105,1
Java,hadoop-branch-1.0/src/contrib/streaming/src/java/org/apache/hadoop/streaming/PipeMapRed.java,82,68,1
XML,hadoop-branch-1.0/src/docs/cn/src/documentation/content/xdocs/commands_manual.xml,39,12,1
Java,hadoop-branch-1.0/src/core/org/apache/hadoop/io/file/tfile/BCFile.java,123,317,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/fs/FSMainOperationsBaseTest.java,131,78,1
Java,hadoop-branch-1.0/src/test/org/apache/hadoop/hdfs/server/datanode/SimulatedFSDataset.java,100,95,1
