language,filename,blank,comment,code
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.20.2.xml,1364,1180,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.20.1.xml,1356,1180,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.20.0.xml,1289,1158,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/Apache_Hadoop_Common_2.6.0.xml,1238,1073,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.18.1.xml,974,1008,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.19.2.xml,1077,996,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.19.1.xml,1077,996,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.19.0.xml,1076,990,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.17.0.xml,1224,981,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.18.3.xml,918,904,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop_0.18.2.xml,918,902,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/Apache_Hadoop_Common_2.8.3.xml,1142,651,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/Apache_Hadoop_Common_2.8.2.xml,1134,651,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/Apache_Hadoop_Common_2.8.0.xml,1133,649,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/Apache_Hadoop_Common_3.1.2.xml,969,544,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/Apache_Hadoop_Common_2.7.2.xml,972,591,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop-core_0.20.0.xml,818,701,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/lib/jdiff/hadoop-mapred_0.22.0.xml,974,816,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/lib/jdiff/hadoop-mapred_0.21.0.xml,939,810,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/dev-support/jdiff/Apache_Hadoop_MapReduce_Core_2.6.0.xml,945,762,1
XML,hadoop-rel-release-3.2.1/hadoop-common-project/hadoop-common/dev-support/jdiff/hadoop-core_0.22.0.xml,866,607,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/dev-support/jdiff/Apache_Hadoop_MapReduce_Core_3.1.2.xml,988,604,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/dev-support/jdiff/Apache_Hadoop_MapReduce_Core_3.1.0.xml,988,604,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/dev-support/jdiff/Apache_Hadoop_MapReduce_Core_2.8.3.xml,962,598,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/dev-support/jdiff/Apache_Hadoop_MapReduce_Core_2.8.2.xml,962,598,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/dev-support/jdiff/Apache_Hadoop_MapReduce_Core_2.8.0.xml,962,598,1
XML,hadoop-rel-release-3.2.1/hadoop-mapreduce-project/dev-support/jdiff/Apache_Hadoop_MapReduce_Core_2.7.2.xml,951,612,1
Java,hadoop-rel-release-3.2.1/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/webapp/hamlet/Hamlet.java,5549,21,1
